Sample,Time_ms,Pressure_Pa
9239,72172,102140
9240,72177,102139
9241,72187,102139
9242,72192,102140
9243,72203,102140
9244,72208,102140
9245,72218,102140
9246,72223,102141
9247,72234,102141
9248,72239,102141
9249,72249,102141
9250,72254,102140
9251,72265,102140
9252,72269,102140
9253,72280,102140
9254,72285,102140
9255,72296,102140
9256,72300,102141
9257,72311,102141
9258,72316,102141
9259,72326,102141
9260,72331,102141
9261,72342,102141
9262,72347,102140
9263,72357,102140
9264,72362,102141
9265,72373,102141
9266,72377,102140
9267,72388,102140
9268,72393,102141
9269,72404,102141
9270,72408,102140
9271,72419,102140
9272,72424,102139
9273,72434,102139
9274,72439,102140
9275,72450,102140
9276,72455,102140
9277,72465,102140
9278,72470,102141
9279,72481,102141
9280,72486,102140
9281,72496,102140
9282,72501,102140
9283,72512,102140
9284,72516,102141
9285,72527,102141
9286,72532,102141
9287,72543,102141
9288,72547,102141
9289,72558,102141
9290,72563,102141
9291,72573,102141
9292,72578,102141
9293,72589,102141
9294,72594,102141
9295,72604,102141
9296,72609,102141
9297,72620,102141
9298,72625,102142
9299,72635,102142
9300,72640,102143
9301,72651,102143
9302,72655,102141
9303,72666,102141
9304,72671,102141
9305,72682,102141
9306,72686,102141
9307,72697,102141
9308,72702,102140
9309,72712,102140
9310,72717,102141
9311,72728,102141
9312,72733,102141
9313,72743,102141
9314,72748,102140
9315,72759,102140
9316,72764,102140
9317,72774,102140
9318,72779,102141
9319,72790,102141
9320,72794,102142
9321,72805,102142
9322,72810,102142
9323,72820,102142
9324,72825,102141
9325,72836,102141
9326,72841,102141
9327,72851,102141
9328,72856,102141
9329,72867,102141
9330,72872,102141
9331,72882,102141
9332,72887,102142
9333,72898,102142
9334,72902,102142
9335,72913,102142
9336,72918,102141
9337,72929,102141
9338,72933,102142
9339,72944,102142
9340,72949,102142
9341,72959,102142
9342,72964,102142
9343,72975,102142
9344,72980,102142
9345,72990,102142
9346,72995,102140
9347,73006,102140
9348,73011,102140
9349,73021,102140
9350,73026,102139
9351,73037,102139
9352,73042,102140
9353,73052,102140
9354,73057,102141
9355,73068,102141
9356,73072,102140
9357,73083,102140
9358,73088,102141
9359,73098,102141
9360,73103,102141
9361,73114,102141
9362,73119,102140
9363,73129,102140
9364,73134,102140
9365,73145,102140
9366,73150,102139
9367,73160,102139
9368,73165,102139
9369,73176,102139
9370,73181,102141
9371,73191,102141
9372,73196,102141
9373,73207,102141
9374,73211,102141
9375,73222,102141
9376,73227,102140
9377,73238,102140
9378,73242,102139
